',feet
-,minus
"""",inches
%,percent
a,atto
A,ampere
atm,atmospheres
AU,astronomical unit
b,bits
B,byte
bar,bar
bbl,barrel
bps,bits per second
Bq,becquerels
c,centi
C,coulombs
cal,calories
cc,c c
cd,candela
ch,chain
cwt,hundredweight
d,deci
Da,daltons
degrees C,degrees celsius
E,exa
eV,electron volts
f,femto
F,farad
f,force
ft,feet
g,gram
G,giga
gal,gallons
h,hour
H,henrys
ha,hectares
hl,hecto
hp,horsepower
hr,hours
hrs,hours
hz,hertz
Hz,hertz
Ω,fifty ohms
μ,micro
in,inches
in,inch
J,joule
k,kilo
kt,knot
kts,knots
l,liter
L,liter
lbs,pounds
lm,lumens
ly,light years
M,mega
m,meter
Mi,mebi
mi,mile
mol,mole
month,month
mph,miles per hour
N,newton
n,nano
oz,ounces
P,peta
p,pico
Pa,pascal
rpm,revolutions per minute
s,second
sq,square
st,stone
Sv,sieverts
T,tera
tonnes,tonnes
tons,tons
V,volt
W,watt
Wh,watt hour
Y,yotta
y,yocto
yd,yard
year,year
yr,year
Z,zetta
z,zepto
